scale,bits,ef_search,rerank_factor,k,recall_mean,recall_std,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,qps,encode_time_s,build_time_s
50000,1,50,1,10,0.7228,0.2033,7.1692,7.1643,9.6163,10.4094,139.5,5.64,711.65
50000,1,50,4,10,0.8872,0.1463,19.0254,19.2394,23.2423,25.1185,52.6,5.64,711.65
50000,1,50,10,10,0.9452,0.1071,35.3145,35.5424,40.6225,42.5310,28.3,5.64,711.65
50000,1,50,20,10,0.9710,0.0750,53.2245,53.5007,59.5264,61.5206,18.8,5.64,711.65
50000,1,50,50,10,0.9922,0.0310,85.1727,85.3381,90.8876,92.5230,11.7,5.64,711.65
50000,1,100,1,10,0.7228,0.2033,7.1514,7.1658,9.6652,10.3533,139.8,5.64,711.65
50000,1,100,4,10,0.8872,0.1463,18.9595,19.1376,23.0066,24.6308,52.7,5.64,711.65
50000,1,100,10,10,0.9452,0.1071,35.0172,35.2282,40.4637,43.5783,28.6,5.64,711.65
50000,1,100,20,10,0.9710,0.0750,53.3040,53.5417,59.2899,61.4550,18.8,5.64,711.65
50000,1,100,50,10,0.9922,0.0310,84.5469,84.5232,90.5960,91.7737,11.8,5.64,711.65
50000,2,50,1,10,0.9092,0.1423,3.1633,3.1194,4.2025,4.8381,316.1,5.65,711.65
50000,2,50,4,10,0.9858,0.0458,7.6870,7.6115,9.4879,10.4162,130.1,5.65,711.65
50000,2,50,10,10,0.9958,0.0245,14.2281,14.2025,16.8734,17.6842,70.3,5.65,711.65
50000,2,50,20,10,0.9988,0.0126,22.7827,22.7824,26.0451,27.2127,43.9,5.65,711.65
50000,2,50,50,10,0.9996,0.0063,42.8628,42.9529,46.8142,48.4726,23.3,5.65,711.65
50000,2,100,1,10,0.9092,0.1423,3.0821,3.0475,4.0738,4.7989,324.5,5.65,711.65
50000,2,100,4,10,0.9858,0.0458,7.5873,7.5593,9.2833,9.9763,131.8,5.65,711.65
50000,2,100,10,10,0.9958,0.0245,14.2338,14.2547,16.6166,17.7532,70.3,5.65,711.65
50000,2,100,20,10,0.9988,0.0126,22.8667,22.8743,25.6547,27.4437,43.7,5.65,711.65
50000,2,100,50,10,0.9996,0.0063,42.9503,42.9029,47.3497,48.7955,23.3,5.65,711.65
50000,4,50,1,10,0.9750,0.0616,3.2883,3.2174,4.3848,5.3685,304.1,5.59,711.65
50000,4,50,4,10,0.9960,0.0206,8.0763,8.1454,9.6773,10.6096,123.8,5.59,711.65
50000,4,50,10,10,0.9996,0.0063,14.8282,14.8375,17.3525,18.3056,67.4,5.59,711.65
50000,4,50,20,10,1.0000,0.0000,24.0502,24.1871,26.9912,28.3496,41.6,5.59,711.65
50000,4,50,50,10,1.0000,0.0000,45.0177,45.1212,49.8039,51.4135,22.2,5.59,711.65
50000,4,100,1,10,0.9750,0.0616,3.2749,3.2357,4.3636,5.1763,305.4,5.59,711.65
50000,4,100,4,10,0.9960,0.0206,8.0764,8.0465,9.9645,10.7504,123.8,5.59,711.65
50000,4,100,10,10,0.9996,0.0063,14.8675,14.9206,17.3349,18.3821,67.3,5.59,711.65
50000,4,100,20,10,1.0000,0.0000,23.9868,24.0105,27.2424,28.8985,41.7,5.59,711.65
50000,4,100,50,10,1.0000,0.0000,44.7962,44.6686,49.5877,51.3716,22.3,5.59,711.65
